Flag,"Vessel Name",Imo,"Time Of Latest Position",Latitude,Longitude,Speed,Course
Chile,TALBOR,9244178,"2025-11-10 18:01 (UTC -3)",-37.028496,-73.164452,0.0,320
Chile,ALF,9251913,"2025-11-10 02:57 (UTC -3)",-39.429436,-74.061256,14.1,24
Chile,PELICANO,9105671,"2025-11-10 18:06 (UTC -3)",-37.026695,-73.156197,0.1,225
Chile,"SAN JOSE",9184407,"2025-11-10 18:05 (UTC -3)",-32.400406,-73.118088,12.1,18
Chile,"CORSARIO I",9148477,"2025-11-10 18:04 (UTC -3)",-32.691792,-72.733543,10.3,11
Chile,"MARIA JOSE",9145499,"2025-11-10 18:06 (UTC -3)",-37.026886,-73.155678,0.0,55
Chile,CAZADOR,9151046,"2025-11-10 18:04 (UTC -3)",-32.649818,-72.86866,10.8,23
Chile,RUTH,9244166,"2025-11-10 18:03 (UTC -3)",-37.029152,-73.152809,0.1,249
Chile,VENTISQUERO,9143324,"2025-11-10 18:03 (UTC -3)",-37.027935,-73.16201,0.1,218
Chile,LONCO,9165138,"2025-11-10 18:05 (UTC -3)",-37.030586,-73.162529,0.1,180
Chile,VESTERVEG,9163013,"2025-11-10 18:03 (UTC -3)",-37.028667,-73.163719,0.0,163
Chile,"BUCANERO I",9148489,"2025-11-10 18:05 (UTC -3)",-32.250187,-72.546379,9.6,15
Chile,PEHUENCO,9124457,"2025-10-24 14:45 (UTC -3)",-33.036942,-71.622719,0.1,118
Chile,"CENTINELA I",9657210,"2025-11-10 18:06 (UTC -3)",-32.926041,-71.837555,13.3,3
Chile,"DON JULIO",9114335,"2025-11-10 18:03 (UTC -3)",-37.027962,-73.162277,0.0,162
Chile,"DON ALFONSO",9169251,"2025-11-10 18:06 (UTC -3)",-36.667053,-73.179504,12.0,1
Chile,"DON EDMUNDO",9160918,"2025-11-10 18:06 (UTC -3)",-36.727852,-73.129761,0.0,331
Chile,"DON MANUEL",9141560,"2025-11-10 18:01 (UTC -3)",-36.727051,-73.12986,0.0,333
Chile,QUERELEMA,9073646,"2025-11-10 18:05 (UTC -3)",-36.727013,-73.130028,0.0,325
Chile,"YELCHO I",9111785,"2025-11-10 17:58 (UTC -3)",-33.750992,-73.645576,11.5,15
Chile,"DON BORIS",9145504,"2025-11-10 18:06 (UTC -3)",-36.731426,-73.128319,0.1,228
Chile,ERIKA,8505460,"2025-11-10 18:05 (UTC -3)",-36.725845,-73.13102,0.1,276
Chile,"DON TITO",9105827,"2025-11-10 18:06 (UTC -3)",-36.731201,-73.128197,0.1,245
Chile,RAPANUI,9123063,"2025-11-10 18:07 (UTC -3)",-36.696709,-73.100327,0.0,309
Chile,"VICHUQUEN II",9171668,"2025-11-10 18:05 (UTC -3)",-36.727215,-73.129784,0.0,251
Chile,JAVIER,9050046,"2025-11-10 18:05 (UTC -3)",-37.029987,-73.161278,0.1,194
Chile,"CORAL I",9044982,"2025-11-10 18:05 (UTC -3)",-32.859146,-72.445518,11.5,71
Chile,"SANTA MARIA II",9141584,"2025-11-10 18:05 (UTC -3)",-37.099998,-73.165001,0.0,2
Chile,LIDER,9169237,"2025-11-10 18:05 (UTC -3)",-33.109917,-72.687744,13.8,5
Chile,COBRA,9160695,"2025-11-10 18:06 (UTC -3)",-36.725876,-73.130775,0.0,116
