"Vessel Name",Imo,"Time Of Latest Position",Latitude,Longitude,Speed,Course
TALBOR,9244178,"2025-11-18 07:34 (UTC -3)",-37.029827,-73.162605,0.1,283
ALF,9251913,"2025-11-18 07:22 (UTC -3)",-34.129505,-72.448135,15.1,21
PELICANO,9105671,"2025-11-18 07:56 (UTC -3)",-35.721405,-72.962311,12.3,14
"SAN JOSE",9184407,"2025-11-18 07:56 (UTC -3)",-34.093079,-72.22036,12.6,356
"CORSARIO I",9148477,"2025-11-18 07:56 (UTC -3)",-33.884838,-72.175743,6.9,1
"MARIA JOSE",9145499,"2025-11-18 07:56 (UTC -3)",-36.15044,-73.135857,8.0,197
CAZADOR,9151046,"2025-11-18 07:51 (UTC -3)",-37.028355,-73.164383,0.1,
RUTH,9244166,"2025-11-18 07:57 (UTC -3)",-33.901997,-72.397537,13.5,1
VENTISQUERO,9143324,"2025-11-18 07:56 (UTC -3)",-37.027901,-73.162056,0.0,235
LONCO,9165138,"2025-11-18 07:57 (UTC -3)",-37.030033,-73.193764,7.9,144
VESTERVEG,9163013,"2025-11-18 07:53 (UTC -3)",-37.028355,-73.16394,0.0,172
PEHUENCO,9124457,"2025-11-18 07:47 (UTC -3)",-37.026745,-73.155693,0.0,287
"BUCANERO I",9148489,"2025-11-18 07:50 (UTC -3)",-36.040001,-72.886665,7.0,195
"CENTINELA I",9657210,"2025-11-18 07:56 (UTC -3)",-37.026669,-73.161667,0.0,37
"DON JULIO",9114335,"2025-11-18 07:56 (UTC -3)",-34.650677,-72.571884,12.8,18
"DON ALFONSO",9169251,"2025-11-18 07:51 (UTC -3)",-36.727242,-73.131577,0.1,195
"DON EDMUNDO",9160918,"2025-11-18 07:55 (UTC -3)",-34.051605,-72.287468,8.6,19
"YELCHO I",9111785,"2025-11-18 07:56 (UTC -3)",-36.727501,-73.131554,0.0,163
"DON MANUEL",9141560,"2025-11-18 07:50 (UTC -3)",-35.601799,-72.857117,13.5,21
QUERELEMA,9073646,"2025-11-18 07:34 (UTC -3)",-35.059555,-72.636002,13.0,12
ERIKA,8505460,"2025-11-18 07:56 (UTC -3)",-36.725769,-73.131004,0.0,138
RAPANUI,9123063,"2025-11-13 08:34 (UTC -3)",-36.696632,-73.100319,0.0,334
"DON BORIS",9145504,"2025-11-18 07:32 (UTC -3)",-33.845001,-72.010002,10.0,19
"DON TITO",9105827,"2025-11-18 07:24 (UTC -3)",-36.438744,-73.10128,11.6,21
"VICHUQUEN II",9171668,"2025-11-18 07:39 (UTC -3)",-33.798988,-72.333107,12.3,340
JAVIER,9050046,"2025-11-18 07:56 (UTC -3)",-37.029491,-73.161484,0.1,48
"CORAL I",9044982,"2025-11-18 07:57 (UTC -3)",-36.731129,-73.12822,0.0,56
"SANTA MARIA II",9141584,"2025-11-18 07:56 (UTC -3)",-37.099998,-73.165001,0.0,61
LIDER,9169237,"2025-11-18 07:56 (UTC -3)",-29.966257,-71.360901,0.1,182
COBRA,9160695,"2025-11-18 07:56 (UTC -3)",-36.725811,-73.130737,0.0,337
