Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Current Port",Imo,"Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude
Chile,TALBOR,"PUERTO EDEN","2025-10-03 11:15 (UTC -3)","PUERTO DE CORONEL",CORONEL,9244178,Fishing,"2025-11-19 06:07 (UTC -3)",-37.028461,-73.164444
Chile,ALF,"PUERTO EDEN","2025-11-20 17:43 (UTC -3)","PUERTO DE CORONEL",,9251913,Fishing,"2025-11-19 07:06 (UTC -3)",-33.928719,-72.378647
Chile,PELICANO,CORONEL,"2025-11-21 11:02 (UTC -3)",,,9105671,Fishing,"2025-11-19 07:06 (UTC -3)",-33.930767,-72.339149
Chile,"SAN JOSE",CORONEL,"2025-11-24 02:44 (UTC -3)",,,9184407,Fishing,"2025-11-19 07:06 (UTC -3)",-33.886684,-72.365051
Chile,"CORSARIO I",CORONEL,"2025-04-07 19:00 (UTC -3)","PUERTO CORONEL",,9148477,Fishing,"2025-11-19 07:06 (UTC -3)",-33.915714,-72.379166
Chile,"MARIA JOSE","PUERTO EDEN","2025-11-18 17:30 (UTC -3)","PUERTO DE CORONEL",CORONEL,9145499,Fishing,"2025-11-19 07:05 (UTC -3)",-37.026669,-73.156227
Chile,CAZADOR,CORONEL,"2025-11-27 15:53 (UTC -3)",CORONEL,,9151046,Fishing,"2025-11-19 07:06 (UTC -3)",-34.018768,-72.423264
Chile,RUTH,,"2025-11-11 16:00 (UTC -3)","ZONA PESCA",,9244166,Fishing,"2025-11-19 07:07 (UTC -3)",-37.027912,-73.214844
Chile,VENTISQUERO,CORONEL,"2025-08-28 08:30 (UTC -3)",CORONEL,CORONEL,9143324,Fishing,"2025-11-19 07:07 (UTC -3)",-37.027882,-73.162033
Chile,LONCO,,"2025-11-23 17:28 (UTC -3)","A ZONA DE PESCA",CORONEL,9165138,Fishing,"2025-11-19 06:57 (UTC -3)",-37.032093,-73.160889
Chile,VESTERVEG,"PUERTO EDEN","2025-09-01 00:00 (UTC -3)","PUERTO DE VALPARAISO",CORONEL,9163013,Fishing,"2025-11-19 07:04 (UTC -3)",-37.028362,-73.163933
Chile,PEHUENCO,CORONEL,"2025-11-15 15:00 (UTC -3)",CORONEL,CORONEL,9124457,Fishing,"2025-11-19 07:06 (UTC -3)",-37.026493,-73.156288
Chile,"BUCANERO I",CORONEL,"2025-11-18 20:30 (UTC -3)","PUERTO CORONEL",CORONEL,9148489,Fishing,"2025-11-19 07:06 (UTC -3)",-37.026794,-73.155708
Chile,"CENTINELA I",,"2025-11-11 21:30 (UTC -3)","ZONA DE PESCA",CORONEL,9657210,Fishing,"2025-11-19 07:00 (UTC -3)",-37.027813,-73.162285
Chile,"DON JULIO",,"2025-11-20 01:22 (UTC -3)",ZONA.DE.PESCA,,9114335,Fishing,"2025-11-19 07:06 (UTC -3)",-33.893936,-72.372833
Chile,"DON ALFONSO",,"2025-07-04 09:00 (UTC -3)","ZONA DE PESCA","SAN VICENTE",9169251,Fishing,"2025-11-19 07:01 (UTC -3)",-36.727196,-73.131523
Chile,"DON EDMUNDO",,"2025-11-12 18:00 (UTC -3)","SEARCHING FISCH",,9160918,Fishing,"2025-11-19 07:00 (UTC -3)",-33.865181,-72.299744
Chile,"YELCHO I",,"2025-11-22 22:55 (UTC -3)",ZONA/PESCA,,9111785,Fishing,"2025-11-19 07:06 (UTC -3)",-33.890129,-72.342468
Chile,"DON MANUEL",,"2026-01-01 09:00 (UTC -3)","ZONA PESCA",,9141560,Fishing,"2025-11-19 07:06 (UTC -3)",-33.926735,-72.365616
Chile,QUERELEMA,VALPARAISO,"2025-11-18 20:00 (UTC -3)",VALPARAISO,VALPARAISO,9073646,Fishing,"2025-11-19 07:06 (UTC -3)",-33.040157,-71.620163
Chile,ERIKA,,"2025-06-03 00:00 (UTC -3)","ZONA DE PESCA","SAN VICENTE",8505460,Fishing,"2025-11-19 07:06 (UTC -3)",-36.725788,-73.131012
Chile,RAPANUI,,"2025-11-23 01:00 (UTC -3)","ASMAR THNO",TALCAHUANO,9123063,Fishing,"2025-11-13 08:34 (UTC -3)",-36.696632,-73.100319
Chile,"DON BORIS","SAN VICENTE","2025-11-17 22:09 (UTC -3)","PTO.SAN VICENTE",,9145504,Fishing,"2025-11-19 06:44 (UTC -3)",-33.896667,-72.296669
Chile,"DON TITO","SAN VICENTE","2025-11-21 09:38 (UTC -3)","SAN VICENTE",,9105827,Fishing,"2025-11-19 07:06 (UTC -3)",-33.881119,-72.325386
Chile,"VICHUQUEN II",LOTA,"2025-05-16 13:00 (UTC -3)",LOTA,,9171668,Fishing,"2025-11-19 07:06 (UTC -3)",-33.837379,-72.239449
Chile,JAVIER,,"2025-08-08 23:00 (UTC -3)","ZONA DE PESCA",CORONEL,9050046,Fishing,"2025-11-19 06:50 (UTC -3)",-37.029362,-73.161453
Chile,"CORAL I",,"2025-10-20 06:39 (UTC -3)",,"SAN VICENTE",9044982,Fishing,"2025-11-19 07:06 (UTC -3)",-36.731117,-73.12825
Chile,"SANTA MARIA II",LOTA,"2025-07-30 09:00 (UTC -3)","FONDEADO LOTA",LOTA,9141584,Fishing,"2025-11-19 06:56 (UTC -3)",-37.099998,-73.165001
Chile,LIDER,CORONEL,"2025-06-12 18:00 (UTC -3)",CORONEL,GUAYACAN,9169237,Fishing,"2025-11-19 07:04 (UTC -3)",-29.966274,-71.360878
Chile,COBRA,,"2026-03-30 09:00 (UTC -3)","ZONA DE PESCA","SAN VICENTE",9160695,Fishing,"2025-11-19 07:05 (UTC -3)",-36.725815,-73.130745
