Flag,"Vessel Name",Imo,"Time Of Latest Position",Latitude,Longitude,Speed,Course
Chile,TALBOR,9244178,"2025-11-21 07:37 (UTC -3)",-34.017029,-72.698311,14.6,33
Chile,ALF,9251913,"2025-11-21 07:47 (UTC -3)",-37.028465,-73.164474,0.2,201
Chile,PELICANO,9105671,"2025-11-21 07:48 (UTC -3)",-37.026676,-73.156219,0.1,201
Chile,"SAN JOSE",9184407,"2025-11-21 07:49 (UTC -3)",-36.847145,-73.236641,14.5,172
Chile,"CORSARIO I",9148477,"2025-11-21 07:49 (UTC -3)",-32.368481,-71.689857,8.6,100
Chile,"MARIA JOSE",9145499,"2025-11-21 07:48 (UTC -3)",-32.326668,-71.613335,1.0,312
Chile,CAZADOR,9151046,"2025-11-21 07:48 (UTC -3)",-32.378788,-71.569473,0.6,356
Chile,RUTH,9244166,"2025-11-21 07:42 (UTC -3)",-33.518955,-72.280876,15.0,28
Chile,VENTISQUERO,9143324,"2025-11-21 07:48 (UTC -3)",-37.027901,-73.162033,0.1,53
Chile,LONCO,9165138,"2025-11-21 07:48 (UTC -3)",-37.029537,-73.16301,0.1,192
Chile,VESTERVEG,9163013,"2025-11-21 07:48 (UTC -3)",-37.028355,-73.16391,0.0,214
Chile,PEHUENCO,9124457,"2025-11-21 07:42 (UTC -3)",-37.026764,-73.155685,0.0,252
Chile,"BUCANERO I",9148489,"2025-11-21 07:47 (UTC -3)",-32.366352,-71.71405,0.6,9
Chile,"CENTINELA I",9657210,"2025-11-21 07:49 (UTC -3)",-32.319935,-71.604591,0.5,268
Chile,"DON JULIO",9114335,"2025-11-21 07:47 (UTC -3)",-32.370533,-71.612823,0.8,271
Chile,"DON ALFONSO",9169251,"2025-11-21 07:48 (UTC -3)",-32.367409,-71.588509,0.6,34
Chile,"DON EDMUNDO",9160918,"2025-11-21 07:48 (UTC -3)",-36.727539,-73.131493,0.0,257
Chile,"YELCHO I",9111785,"2025-11-21 07:48 (UTC -3)",-34.138302,-72.629929,10.6,184
Chile,"DON MANUEL",9141560,"2025-11-21 07:48 (UTC -3)",-32.310352,-71.611732,1.5,31
Chile,QUERELEMA,9073646,"2025-11-19 11:45 (UTC -3)",-33.037628,-71.623138,0.0,203
Chile,ERIKA,8505460,"2025-11-21 07:48 (UTC -3)",-36.725605,-73.130959,0.0,94
Chile,RAPANUI,9123063,"2025-11-13 08:34 (UTC -3)",-36.696632,-73.100319,0.0,334
Chile,"DON BORIS",9145504,"2025-11-21 07:48 (UTC -3)",-36.731319,-73.128304,0.1,6
Chile,"DON TITO",9105827,"2025-11-21 07:49 (UTC -3)",-36.723625,-73.170288,11.1,169
Chile,"VICHUQUEN II",9171668,"2025-11-21 07:36 (UTC -3)",-35.627094,-72.968834,13.6,359
Chile,JAVIER,9050046,"2025-11-21 07:26 (UTC -3)",-37.027664,-73.161186,0.0,176
Chile,"CORAL I",9044982,"2025-11-21 07:42 (UTC -3)",-34.672134,-73.043419,11.3,25
Chile,"SANTA MARIA II",9141584,"2025-11-21 07:47 (UTC -3)",-37.099998,-73.161667,0.0,230
Chile,LIDER,9169237,"2025-11-21 07:47 (UTC -3)",-29.966248,-71.36087,0.2,228
Chile,COBRA,9160695,"2025-11-21 07:48 (UTC -3)",-36.725819,-73.13073,0.0,261
